server_id,player_a,player_b
S2,P62013,P39235
S2,P94626,P52861
S3,P35901,P35485
S3,P38714,P35901
S3,P38714,P60200
S3,P38714,P84372
S3,P100260,P38714
S4,P12850,P45529
S4,P13622,P9919
S4,P13622,P98217
S4,P16014,P81412
S4,P16847,P88516
S4,P22475,P42339
S4,P29640,P66890
S4,P30158,P59732
S4,P32741,P34323
S4,P32741,P41582
S4,P36222,P22475
S4,P36222,P51576
S4,P41713,P58668
S4,P47782,P1917
S4,P51576,P31455
S4,P51576,P36222
S4,P51576,P94445
S4,P51609,P27098
S4,P51609,P87330
S4,P53690,P8249
S4,P53690,P36222
S4,P66816,P88516
S4,P66816,P89195
S4,P80834,P83476
S4,P82061,P18150
S4,P82061,P21522
S4,P82061,P83476
S4,P83349,P1083
S4,P83349,P51007
S4,P84256,P16014
S4,P89524,P52196
S4,P91242,P101497
S4,P91345,P36222
S4,P94435,P5647
S4,P96755,P49797
S4,P96755,P80563
S4,P96755,P89524
S5,P35680,P27103
S5,P35680,P49932
S5,P35680,P56904
S5,P42673,P49932
S5,P42673,P77731
S5,P59281,P22060
S5,P59281,P36539
S5,P59281,P62571
S5,P70397,P77262
S5,P72792,P30664
S5,P72792,P32224
S5,P72792,P48929
S5,P72792,P74788
S5,P72792,P77556
S5,P78664,P81344
S5,P85588,P15205
S5,P85588,P27386
S8,P4093,P13750
S8,P4093,P42057
S8,P4093,P53349
S8,P5475,P8925
S8,P5475,P26253
S8,P5475,P46746
S8,P5475,P91678
S8,P6422,P66120
S8,P6422,P72879
S8,P6422,P74717
S8,P6422,P92720
S8,P10516,P51312
S8,P10516,P79135
S8,P13510,P55183
S8,P14055,P1849
S8,P14383,P31811
S8,P17721,P46746
S8,P20546,P50180
S8,P21258,P2580
S8,P21258,P51154
S8,P21258,P67912
S8,P29169,P81539
S8,P34236,P64406
S8,P36669,P18314
S8,P36669,P45253
S8,P36669,P59165
S8,P36669,P76191
S8,P36669,P92720
S8,P41343,P221
S8,P46746,P5420
S8,P46746,P16450
S8,P46746,P49402
S8,P46746,P58059
S8,P46746,P66329
S8,P46746,P83782
S8,P48304,P6177
S8,P48304,P35160
S8,P48304,P43852
S8,P48304,P102016
S8,P49056,P96802
S8,P49056,P99683
S8,P49783,P24498
S8,P51154,P1165
S8,P51154,P2412
S8,P51154,P92720
S8,P51312,P32049
S8,P51312,P63846
S8,P51312,P66120
S8,P51312,P77782
S8,P53349,P14313
S8,P53349,P51532
S8,P53349,P68522
S8,P53349,P77782
S8,P53659,P51312
S8,P55494,P28153
S8,P55494,P44047
S8,P59730,P2550
S8,P59730,P30635
S8,P59730,P91170
S8,P61623,P10157
S8,P61973,P10654
S8,P61973,P43081
S8,P61973,P78731
S8,P61973,P82239
S8,P61973,P99571
S8,P64618,P5420
S8,P64618,P6177
S8,P64618,P16450
S8,P64618,P71289
S8,P64618,P91678
S8,P66479,P44717
S8,P66479,P50180
S8,P67059,P5420
S8,P67059,P16475
S8,P67059,P24498
S8,P67059,P66120
S8,P67059,P97089
S8,P71178,P27911
S8,P71178,P66120
S8,P72254,P46272
S8,P77151,P88261
S8,P77749,P15985
S8,P77749,P38059
S8,P77749,P46650
S8,P77749,P77782
S8,P77848,P48724
S8,P77848,P56925
S8,P77848,P90929
S8,P77848,P92720
S8,P78436,P1106
S8,P78436,P17670
S8,P78436,P41972
S8,P78436,P101875
S8,P79042,P1189
S8,P79042,P7830
S8,P79042,P26621
S8,P79042,P52611
S8,P79042,P75550
S8,P79135,P5475
S8,P79135,P70421
S8,P79135,P94147
S8,P81096,P26872
S8,P85843,P52486
S8,P87030,P79926
S8,P87051,P91601
S8,P91543,P45094
S8,P91597,P29169
S8,P92490,P45396
S8,P92490,P64708
S8,P92490,P89411
S8,P94657,P4093
S8,P94657,P13150
S8,P94657,P66752
S8,P94657,P74439
S8,P94657,P89995
S8,P96253,P13750
S8,P96253,P67619
S8,P99218,P55690
S8,P99218,P79024
S9,P3126,P90325
S2,P52238,P28758
S3,P56472,P26690
S4,P10873,P42507
S4,P36222,P20142
S4,P36222,P85896
S4,P36222,P101497
S5,P59281,P95833
S5,P72792,P24185
S5,P72792,P77941
S5,P72792,P83222
S5,P85588,P49932
S5,P85588,P78042
S8,P931,P24498
S8,P4093,P37900
S8,P5475,P34050
S8,P6422,P41949
S8,P21469,P45396
S8,P26871,P19710
S8,P34236,P92720
S8,P36669,P30186
S8,P38815,P61973
S8,P46746,P5475
S8,P49056,P26253
S8,P51312,P21554
S8,P53349,P15985
S8,P53349,P42594
S8,P53349,P49322
S8,P54404,P6177
S8,P58407,P21703
S8,P58407,P92720
S8,P61867,P32078
S8,P64618,P21554
S8,P67059,P16450
S8,P72254,P91678
S8,P77151,P5475
S8,P77848,P2643
S8,P78436,P51244
S8,P79135,P64618
S8,P87051,P48691
S8,P91543,P26374
S8,P91597,P61389
S8,P94657,P13004
S9,P22371,P39700
S2,P88776,P37668
S4,P3691,P9919
S4,P36222,P9919
S4,P56278,P85026
S5,P57514,P45386
S5,P68465,P49932
S5,P68465,P56904
S5,P71955,P44362
S5,P71955,P82866
S5,P72792,P47625
S5,P85588,P36539
S8,P21258,P81415
S8,P26178,P70208
