server_id,player_a,player_b
S2,P672,P88505
S2,P51815,P10103
S2,P51815,P54426
S2,P51815,P88776
S2,P55087,P75621
S2,P73543,P11421
S2,P73543,P46613
S2,P73543,P54248
S2,P73543,P75621
S2,P99388,P73543
S3,P22918,P35901
S3,P35901,P36094
S3,P58441,P36094
S3,P65347,P36094
S3,P72669,P63895
S3,P100260,P38714
S4,P2107,P65012
S4,P4688,P19235
S4,P4688,P34391
S4,P4688,P80834
S4,P4688,P99854
S4,P7453,P19235
S4,P11142,P65012
S4,P12555,P87517
S4,P12555,P96755
S4,P13619,P45312
S4,P16014,P84256
S4,P17050,P19235
S4,P17050,P27098
S4,P17050,P45048
S4,P17050,P64338
S4,P19235,P41713
S4,P21145,P51609
S4,P21487,P17722
S4,P29011,P11142
S4,P29011,P17050
S4,P33413,P4688
S4,P34391,P65012
S4,P34711,P32969
S4,P35247,P64338
S4,P37417,P17722
S4,P45048,P51609
S4,P45312,P4688
S4,P45312,P19235
S4,P50350,P19235
S4,P56278,P68700
S4,P62096,P68428
S4,P65012,P19235
S4,P65012,P22475
S4,P65012,P41713
S4,P68428,P19235
S4,P68428,P23066
S4,P68643,P19235
S4,P68928,P19235
S4,P74549,P19235
S4,P74549,P45048
S4,P74549,P65012
S4,P74744,P19235
S4,P74744,P22475
S4,P74744,P68700
S4,P77980,P65012
S4,P84108,P6714
S4,P84108,P32965
S4,P84108,P34391
S4,P84108,P99854
S4,P86136,P41713
S4,P91456,P41713
S4,P96755,P99854
S4,P96857,P19235
S4,P97449,P99854
S4,P99854,P6714
S4,P99854,P17722
S4,P99854,P19235
S4,P99854,P41713
S4,P99854,P64338
S4,P99854,P74549
S5,P93511,P7358
S7,P67919,P30315
S7,P78174,P58799
S7,P78174,P86624
S8,P1009,P55494
S8,P3341,P10516
S8,P3341,P17721
S8,P3341,P35285
S8,P3341,P55690
S8,P3341,P61867
S8,P3341,P67515
S8,P3341,P68909
S8,P5475,P3341
S8,P5475,P31727
S8,P5475,P38815
S8,P5475,P64618
S8,P5475,P68909
S8,P5475,P68972
S8,P5725,P79796
S8,P6422,P13510
S8,P6422,P79796
S8,P7331,P5475
S8,P7331,P17721
S8,P7331,P21092
S8,P7331,P72254
S8,P7331,P77749
S8,P7331,P81096
S8,P7830,P5475
S8,P7830,P31727
S8,P7830,P49056
S8,P7830,P49783
S8,P7830,P50580
S8,P7830,P51154
S8,P10516,P46746
S8,P10516,P51312
S8,P10516,P68972
S8,P10516,P76829
S8,P10516,P79135
S8,P13510,P51154
S8,P13510,P68909
S8,P15219,P68909
S8,P17092,P5475
S8,P17092,P53591
S8,P17417,P10516
S8,P17721,P21092
S8,P17721,P46746
S8,P17721,P50580
S8,P17721,P64618
S8,P17721,P68909
S8,P18314,P61867
S8,P20546,P78436
S8,P20546,P87051
S8,P21092,P51312
S8,P21258,P46746
S8,P21258,P61867
S8,P21258,P76829
S8,P22390,P13510
S8,P22390,P46746
S8,P22390,P50580
S8,P22390,P51312
S8,P22390,P55690
S8,P22390,P72254
S8,P22960,P55494
S8,P26932,P46746
S8,P26932,P51154
S8,P26932,P55494
S8,P26932,P67059
S8,P26932,P76234
S8,P27817,P21092
S8,P27817,P53659
S8,P27817,P77848
S8,P27817,P81096
S8,P27817,P92490
S8,P31510,P51154
S8,P31727,P22390
S8,P31727,P51312
S8,P31727,P53659
S8,P31727,P61867
S8,P31727,P64618
S8,P31727,P68972
S8,P31727,P72254
S8,P31727,P72584
S8,P32477,P17721
S8,P32477,P50580
S8,P35285,P5475
S8,P35285,P27817
S8,P35285,P55690
S8,P35285,P77749
S8,P38339,P92490
S8,P38815,P34236
S8,P38815,P76829
S8,P38815,P79042
S8,P39312,P99218
S8,P40669,P17417
S8,P40669,P53659
S8,P40669,P61899
S8,P40669,P68909
S8,P40669,P76829
S8,P46746,P10516
S8,P46746,P17721
S8,P46746,P21092
S8,P46746,P31727
S8,P46746,P49056
S8,P46746,P51312
S8,P46746,P64618
S8,P46746,P76234
S8,P46746,P77749
S8,P46746,P81096
S8,P47276,P50580
S8,P47276,P72254
S8,P49056,P10516
S8,P49783,P5475
S8,P49783,P35285
S8,P50580,P22390
S8,P50580,P38815
S8,P50580,P53659
S8,P50580,P60943
S8,P50580,P65283
S8,P50580,P76829
S8,P50580,P77848
S8,P50580,P79042
S8,P50580,P79796
S8,P50580,P81415
S8,P50580,P92490
S8,P51312,P5475
S8,P51312,P7120
S8,P51312,P51154
S8,P51312,P64618
S8,P51685,P7830
S8,P51685,P17721
S8,P51685,P21092
S8,P51685,P55515
S8,P51685,P61867
S8,P51685,P64618
S8,P51685,P77749
S8,P53591,P13510
S8,P53591,P35285
S8,P53591,P51685
S8,P53591,P61899
S8,P53591,P65283
S8,P53591,P77749
S8,P53659,P7120
S8,P53659,P65283
S8,P55494,P1009
S8,P55494,P34236
S8,P55494,P46746
S8,P55494,P53591
S8,P55494,P55690
S8,P55494,P77151
S8,P55515,P17721
S8,P55515,P49783
S8,P55690,P27817
S8,P55690,P61899
S8,P55690,P66479
S8,P55690,P79042
S8,P55690,P79796
S8,P58407,P65283
S8,P60943,P10516
S8,P60943,P22390
S8,P60943,P67059
S8,P60943,P78436
S8,P60943,P81096
S8,P61867,P7120
S8,P61867,P35285
S8,P61867,P49056
S8,P61867,P51312
S8,P61867,P55690
S8,P61867,P64618
S8,P61867,P72254
S8,P61867,P77749
S8,P61867,P79042
S8,P61899,P21092
S8,P61899,P46746
S8,P61899,P60943
S8,P61899,P67515
S8,P67059,P50580
S8,P67059,P53659
S8,P67059,P60943
S8,P67059,P76829
S8,P67059,P77848
S8,P67059,P79796
S8,P67059,P92490
S8,P67059,P101697
S8,P67515,P10516
S8,P67515,P34236
S8,P67515,P51685
S8,P67515,P53591
S8,P67515,P53659
S8,P67515,P61867
S8,P67515,P77151
S8,P67515,P77749
S8,P67717,P35285
S8,P67717,P53659
S8,P68909,P5725
S8,P68909,P7830
S8,P68909,P13510
S8,P68909,P35285
S8,P68909,P51154
S8,P68909,P51312
S8,P68909,P53591
S8,P68909,P65283
S8,P68909,P77749
S8,P68972,P64618
S8,P72254,P13510
S8,P72254,P17721
S8,P72254,P35285
S8,P72254,P50580
S8,P72254,P53591
S8,P72254,P79796
S8,P72584,P5475
S8,P72584,P53659
S8,P74330,P7120
S8,P74330,P22390
S8,P76234,P15439
S8,P76234,P38815
S8,P76829,P38815
S8,P76829,P50580
S8,P76829,P51312
S8,P77151,P79042
S8,P77151,P79135
S8,P78436,P50580
S8,P79042,P13510
S8,P79042,P36992
S8,P79042,P38815
S8,P79042,P51154
S8,P79042,P53591
S8,P79042,P67059
S8,P79042,P76829
S8,P79042,P79796
S8,P79064,P36992
S8,P79135,P50580
S8,P79135,P53591
S8,P79796,P5725
S8,P79796,P21092
S8,P79796,P51154
S8,P81415,P34236
S8,P81415,P79796
S8,P89416,P17417
S8,P91543,P17417
S8,P92346,P5725
S8,P92346,P38815
S8,P92346,P64618
S8,P92490,P53659
S8,P97224,P5475
S8,P97224,P77749
S8,P99218,P51154
S8,P99218,P68909
S8,P101697,P64618
S8,P101697,P67059
S2,P54248,P11421
S4,P32969,P51609
S4,P50350,P74549
S4,P62096,P19235
S4,P62096,P41713
S4,P97449,P4688
S4,P99854,P4688
S7,P58799,P78174
S8,P5475,P46746
S8,P5475,P72254
S8,P6422,P51154
S8,P7830,P17721
S8,P7830,P79042
S8,P10516,P34236
S8,P17721,P68972
S8,P22390,P17721
S8,P26932,P68909
S8,P31727,P7830
S8,P35285,P46746
S8,P35285,P67515
S8,P46746,P76829
S8,P50580,P7830
S8,P50580,P68909
S8,P53591,P7120
S8,P53659,P79042
S8,P55690,P7830
S8,P55690,P51312
S8,P55690,P77749
S8,P79042,P7830
S8,P79042,P50580
S8,P79135,P61867
S8,P81415,P50580
S8,P92490,P51154
S8,P97224,P7830
S3,P6529,P36094
S3,P72669,P35901
S4,P23066,P37286
S7,P30315,P67919
S8,P31727,P5475
S8,P46746,P5475
S8,P46746,P66479
S8,P50580,P51154
S8,P50580,P72254
S8,P51685,P5475
S8,P61867,P5475
S8,P79042,P61867
S8,P79796,P50580
S8,P99218,P50580
S8,P10516,P5475
S8,P60943,P51154
S8,P72584,P51154
S10,P2406,P14019
S10,P2406,P76704
S10,P3507,P87666
S10,P4131,P28343
S10,P4131,P38804
S10,P4131,P88599
S10,P8350,P38804
S10,P10979,P2406
S10,P10979,P38804
S10,P11858,P30588
S10,P11858,P38804
S10,P11858,P76964
S10,P12842,P14019
S10,P12842,P25148
S10,P12842,P76704
S10,P12842,P87666
S10,P12842,P88599
S10,P12842,P100602
S10,P14019,P49028
S10,P14019,P89586
S10,P14376,P62702
S10,P14376,P100410
S10,P16799,P14019
S10,P16799,P25610
S10,P16799,P48108
S10,P16799,P68811
S10,P16799,P89586
S10,P20104,P22279
S10,P23636,P83518
S10,P23791,P100602
S10,P24326,P11858
S10,P24326,P14019
S10,P24326,P18099
S10,P24326,P23532
S10,P24326,P26228
S10,P24326,P30588
S10,P24326,P38804
S10,P24326,P61212
S10,P24326,P68811
